display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
"Unable to perform a validated_save() on Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",e4526a62-f56b-4b5d-9da3-0b790b41e867,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.332396+01:00
"Unable to perform validated_save() on Device named c9300-LT233_Presentazione-member2. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",c954c836-7eca-42ea-b358-d645db3b2b92,extras.joblogentry,unknown,error,_get_or_create_virtual_chassis,"Unable to perform validated_save() on Device named c9300-LT233_Presentazione-member2. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.341993+01:00
"Unable to update Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41 with VirtualChassis data. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",029d57fe-d5e2-4cb5-ad44-3d9189ad93eb,extras.joblogentry,unknown,error,create,"Unable to update Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41 with VirtualChassis data. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.344028+01:00
"Unable to perform a validated_save() on Device SW-GT-BALOCCO-01 with an ID of df0e3945-f902-405e-b2c5-1c4693394e97. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",138e2ba2-9606-45df-b23f-03ce5f9ab137,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device SW-GT-BALOCCO-01 with an ID of df0e3945-f902-405e-b2c5-1c4693394e97. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.482076+01:00
"Unable to perform a validated_save() on Device FW1-BALOCCO-2 with an ID of eac00b94-e563-4da0-a730-b28c64111a18. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",80ccfd9b-d2d2-47aa-a841-a40f422c1855,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device FW1-BALOCCO-2 with an ID of eac00b94-e563-4da0-a730-b28c64111a18. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.512928+01:00
"Unable to perform a validated_save() on Device AP-BALOCCO-02 with an ID of ce9fb331-0582-4750-8d66-1ee697da9194. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",8576f744-d1b1-4152-bf1d-0c86a3739108,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device AP-BALOCCO-02 with an ID of ce9fb331-0582-4750-8d66-1ee697da9194. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.556854+01:00
"Unable to perform a validated_save() on Device AP-BALOCCO-06 with an ID of 3570e594-3661-4e40-bddf-5103fee3724c. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",658058c0-04a1-4b1e-983d-8362cbc2c13b,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device AP-BALOCCO-06 with an ID of 3570e594-3661-4e40-bddf-5103fee3724c. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.611165+01:00
"Unable to perform a validated_save() on Device AP-BALOCCO-03 with an ID of 28d82269-e9b5-4ac4-b816-fcbf5acc7a86. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",3a41242b-ffc4-467a-8a97-8081b157f540,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device AP-BALOCCO-03 with an ID of 28d82269-e9b5-4ac4-b816-fcbf5acc7a86. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.644800+01:00
"Unable to perform a validated_save() on Device AP-BALOCCO-04 with an ID of a98d86db-0e76-4800-9abc-d6b6a467739d. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",8b4da165-5bbe-462b-a752-327e92b0764e,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device AP-BALOCCO-04 with an ID of a98d86db-0e76-4800-9abc-d6b6a467739d. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.677969+01:00
"Unable to perform a validated_save() on Device AP-BALOCCO-01 with an ID of d2e5bd47-603c-45fd-b613-1a0536ffa86a. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",2f21fb11-c7be-4645-bc1e-43fec5ece1e7,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device AP-BALOCCO-01 with an ID of d2e5bd47-603c-45fd-b613-1a0536ffa86a. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.717237+01:00
"Unable to perform a validated_save() on Device AP-BALOCCO-05 with an ID of dd9c062b-5f92-4eca-9f26-b26d8b23ac17. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",e996d386-9605-41a5-a3a6-ef08cb040f0a,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device AP-BALOCCO-05 with an ID of dd9c062b-5f92-4eca-9f26-b26d8b23ac17. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.748312+01:00
